accuracy,loss,val_accuracy,val_loss
0.6194690465927124,0.9348884224891663,0.7241379022598267,0.8633530139923096
0.8938053250312805,0.7395907640457153,0.8965517282485962,0.7151418924331665
0.9115044474601746,0.6303231120109558,0.9655172228813171,0.5849811434745789
0.9557521939277649,0.5297873616218567,1.0,0.47928735613822937
0.9469026327133179,0.42995893955230713,1.0,0.3852386474609375
0.9380530714988708,0.3674200475215912,1.0,0.30611854791641235
0.9557521939277649,0.3098188042640686,1.0,0.24370205402374268
0.9646017551422119,0.25422218441963196,1.0,0.19694752991199493
0.9734513163566589,0.22137793898582458,1.0,0.15853187441825867
0.9734513163566589,0.18137018382549286,1.0,0.1269657462835312
0.991150438785553,0.15961600840091705,1.0,0.10303059965372086
0.982300877571106,0.13842566311359406,1.0,0.08375049382448196
0.982300877571106,0.11434382945299149,1.0,0.07016856968402863
0.991150438785553,0.09671477973461151,1.0,0.05987901985645294
0.9734513163566589,0.10114801675081253,1.0,0.05087351053953171
0.982300877571106,0.10236869007349014,1.0,0.04243982955813408
0.991150438785553,0.0738246887922287,1.0,0.034818679094314575
0.991150438785553,0.0854899063706398,1.0,0.030291317030787468
0.991150438785553,0.06370823085308075,1.0,0.02688812091946602
1.0,0.05588284134864807,1.0,0.024149315431714058
0.991150438785553,0.06447221338748932,1.0,0.02167162485420704
0.982300877571106,0.06166251376271248,1.0,0.01950460858643055
1.0,0.04537354037165642,1.0,0.0177021361887455
0.991150438785553,0.049655381590127945,1.0,0.016021830961108208
0.991150438785553,0.042728785425424576,1.0,0.01469872985035181
1.0,0.035836879163980484,1.0,0.0136147765442729
1.0,0.03486495837569237,1.0,0.012175886891782284
0.991150438785553,0.03876270353794098,1.0,0.01078264880925417
0.991150438785553,0.029091160744428635,1.0,0.009863265790045261
1.0,0.029636161401867867,1.0,0.009151261299848557
1.0,0.024742480367422104,1.0,0.00838522333651781
1.0,0.033384691923856735,1.0,0.007682617753744125
1.0,0.03344791755080223,1.0,0.007116076536476612
1.0,0.02400204725563526,1.0,0.00668422831222415
0.982300877571106,0.03525364398956299,1.0,0.006311947014182806
0.991150438785553,0.02403346821665764,1.0,0.006022627465426922
1.0,0.015013394877314568,1.0,0.00557649927213788
1.0,0.02194405160844326,1.0,0.005137516651302576
1.0,0.019195081666111946,1.0,0.004725224804133177
1.0,0.014622542075812817,1.0,0.004272059071809053
1.0,0.020352883264422417,1.0,0.0037362605798989534
1.0,0.013909419998526573,1.0,0.0034474581480026245
1.0,0.019265219569206238,1.0,0.003296471433714032
1.0,0.01597421057522297,1.0,0.003222324186936021
1.0,0.012094826437532902,1.0,0.003122291760519147
1.0,0.012225897051393986,1.0,0.003005561651661992
0.991150438785553,0.016677478328347206,1.0,0.0028254312928766012
1.0,0.0233168788254261,1.0,0.0024770351592451334
0.991150438785553,0.01793721877038479,1.0,0.0022826960776001215
1.0,0.015537329018115997,1.0,0.0021714437752962112
1.0,0.010870943777263165,1.0,0.002025132765993476
1.0,0.012517009861767292,1.0,0.001854978734627366
1.0,0.00849911104887724,1.0,0.0017355679301545024
1.0,0.01012237835675478,1.0,0.0016615473432466388
1.0,0.0057921442203223705,1.0,0.0016004798235371709
1.0,0.007181167136877775,1.0,0.0015550922835245728
1.0,0.010881075635552406,1.0,0.0015349527820944786
1.0,0.00822266936302185,1.0,0.0014836641494184732
1.0,0.01001835148781538,1.0,0.0014516809023916721
1.0,0.011270853690803051,1.0,0.0014275218127295375
1.0,0.010573582723736763,1.0,0.001319236820563674
1.0,0.006908607203513384,1.0,0.0012138817692175508
1.0,0.010827972553670406,1.0,0.001148431794717908
1.0,0.010137108154594898,1.0,0.0010812535183504224
1.0,0.006359541323035955,1.0,0.0010459758341312408
1.0,0.00586707703769207,1.0,0.0009975199354812503
1.0,0.007884299382567406,1.0,0.0009715035557746887
0.991150438785553,0.013528391718864441,1.0,0.0009055411210283637
1.0,0.008314372040331364,1.0,0.0008579573477618396
1.0,0.004750767257064581,1.0,0.0008062233682721853
1.0,0.011121747083961964,1.0,0.0007770391530357301
1.0,0.005469607189297676,1.0,0.0007278084522113204
1.0,0.009782098233699799,1.0,0.0007095843320712447
1.0,0.0073347813449800014,1.0,0.0006923605687916279
1.0,0.005904577672481537,1.0,0.0006939226295799017
0.991150438785553,0.014815467409789562,1.0,0.0006820038543082774
1.0,0.003568778745830059,1.0,0.000660969759337604
1.0,0.0031126888934522867,1.0,0.0006259502260945737
1.0,0.003665712894871831,1.0,0.0005809821304865181
1.0,0.0037542625796049833,1.0,0.0005482850829139352
1.0,0.003176563885062933,1.0,0.0005282536731101573
1.0,0.004349312745034695,1.0,0.0004943939857184887
1.0,0.009838636964559555,1.0,0.00047997667570598423
1.0,0.0034504043869674206,1.0,0.00047708983765915036
1.0,0.007735054008662701,1.0,0.000452273350674659
1.0,0.005305664613842964,1.0,0.00043993882718496025
1.0,0.003323908196762204,1.0,0.0004207714810036123
1.0,0.0028105236124247313,1.0,0.0004050350980833173
1.0,0.00432201661169529,1.0,0.0003858772979583591
1.0,0.0034985262900590897,1.0,0.00037320362753234804
1.0,0.005122197791934013,1.0,0.0003662579401861876
1.0,0.0023615167010575533,1.0,0.00035900447983294725
1.0,0.0027865476440638304,1.0,0.00034676314680837095
1.0,0.0031896333675831556,1.0,0.000337986828526482
1.0,0.0027765475679188967,1.0,0.0003225555410608649
1.0,0.002385348780080676,1.0,0.0003102663322351873
1.0,0.0035579006653279066,1.0,0.00029674317920580506
1.0,0.001935593201778829,1.0,0.0002860743261408061
1.0,0.001594815868884325,1.0,0.00027800985844805837
1.0,0.0025390838272869587,1.0,0.0002641930477693677
