cause_output_accuracy,cause_output_loss,fault_output_accuracy,fault_output_loss,loss,val_cause_output_accuracy,val_cause_output_loss,val_fault_output_accuracy,val_fault_output_loss,val_loss,learning_rate
1.0,2.4557080905651674e-05,1.0,1.576497743371874e-05,4.0322058339370415e-05,1.0,2.1021264728915412e-07,1.0,4.5515779589777594e-08,2.2423122914005944e-07,6.25000029685907e-05
1.0,5.814991527586244e-05,1.0,2.1068395653855987e-05,7.921830547275022e-05,1.0,2.0622125873615005e-07,1.0,4.316575541452039e-08,2.1750658163455228e-07,6.25000029685907e-05
1.0,9.092348045669496e-05,1.0,1.8137416191166267e-05,0.00010906092938967049,1.0,1.9823851005185134e-07,1.0,4.2086121254669706e-08,2.110262755650183e-07,6.25000029685907e-05
1.0,2.0291141481720842e-05,1.0,1.0069181371363811e-05,3.0360319215105847e-05,1.0,1.979724260081639e-07,1.0,4.076187209989257e-08,2.094503059879571e-07,6.25000029685907e-05
1.0,4.021733548142947e-05,1.0,4.4910451833857223e-05,8.512778003932908e-05,1.0,1.8786091970923735e-07,1.0,4.0207705609418554e-08,2.0022294222599157e-07,6.25000029685907e-05
1.0,5.515380689757876e-05,1.0,1.087953569367528e-05,6.603333895327523e-05,1.0,1.849339099635472e-07,1.0,3.953837790504622e-08,1.9721457533705689e-07,3.125000148429535e-05
1.0,5.597438575932756e-05,1.0,1.0722803381213453e-05,6.669719005003572e-05,1.0,1.8360344711254584e-07,1.0,3.873342890869935e-08,1.9494231651151495e-07,3.125000148429535e-05
1.0,6.285773270064965e-05,1.0,1.1007027751475107e-05,7.386476499959826e-05,1.0,1.7695116127924848e-07,1.0,3.9089254499913295e-08,1.886572249532037e-07,3.125000148429535e-05
1.0,5.6042230426101014e-05,1.0,1.418669580743881e-05,7.022891804808751e-05,1.0,1.7322588519164128e-07,1.0,3.833253003904247e-08,1.8555300584921497e-07,3.125000148429535e-05
1.0,4.507858830038458e-05,1.0,2.538884109526407e-05,7.046743121463805e-05,1.0,1.7003277719140897e-07,1.0,3.7616750603319815e-08,1.8216717023733509e-07,3.125000148429535e-05
1.0,4.747763159684837e-05,1.0,1.3981005395180546e-05,6.145864608697593e-05,1.0,1.68170132042178e-07,1.0,3.7310375233801096e-08,1.8067554208300862e-07,1.5625000742147677e-05
1.0,3.7039982998976484e-05,1.0,2.4915396352298558e-05,6.195538298925385e-05,1.0,1.6737187991111568e-07,1.0,3.680792559634938e-08,1.7929338014255336e-07,1.5625000742147677e-05
1.0,4.2670035327319056e-05,1.0,1.8735525372903794e-05,6.140556070022285e-05,1.0,1.6737187991111568e-07,1.0,3.6294675709314106e-08,1.7880829261684994e-07,1.5625000742147677e-05
